,OBJECTID,ID_ACCIDENT,DATE_,GROUPE_ACCIDENT,TYPE,CAUSE,COMMUNE,CONDITIONS_LUMINEUSES,CONDITIONS_METEO,CONSEQUENCES,COOR_X,COOR_Y,ETAT_ROUTE,GENRE_ROUTE,HEURE,JOUR,NB_ENFANTS_IMPLIQUES,NB_ENFANTS_ECOLE,NB_BLESSES_LEGERS,NB_BLESSES_GRAVES,NB_TUES,NB_PIETONS,NB_BICYCLETTES,NB_VAE_25,NB_VAE_45,NB_CYCLOMOTEURS,NB_MOTOS_50,NB_MOTOS,NB_VOITURES_TOURISME,NB_VOITURES_LIVRAISON,NB_CAMIONS,NB_BUS,NB_TRAM,NB_TRAINS,NB_SENIORS,NB_TC,REF_GROUPE_CAUSE,TOTAL_PERSONNES,ANNEE,E,N,LATITUDE,LONGITUDE
33137,48027,220729160,20220726,Accident lors d'un dépassement ou lors d'un changement de voie de circulation,Frôlement latéral avec le véhicule dépassé,Dépassement - Moto circulant entre les colonnes,Genève,Jour,Beau temps,Avec dommages matériels,2500690.364,1118867.908,Route sèche,Route principale,160000.0,Mardi,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,1,0,,,2022,2500690.36,1118867.91,6.1517128521947475,46.21391573645049
33138,48028,220614202,20220517,Accident par tamponnement,Collision avec un véhicule en marche,Etat de la personne - Influence de l'alcool,Genève,Jour,Beau temps,Avec dommages matériels,2501181.727,1117958.612,Route sèche,Route principale,170000.0,Mardi,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0,0,,,2022,2501181.73,1117958.61,6.15827184301996,46.20580955448884
33139,48029,220525198,20220525,Accident en parquant,Collision avec un obstacle fixe (y compris véhicule correctement stationné),Conduite - Marche arrière imprudente,Genève,Jour,Beau temps,Avec dommages matériels,2500355.935,1118369.931,Route sèche,Route principale,130000.0,Mercredi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1,0,,,2022,2500355.93,1118369.93,6.147486169089664,46.209387214633026
33140,48030,220622302,20220622,Collision frontale,Collision frontale avec le trafic venant en sens inverse (sans dépassement),Conduite - Croisement longitudinal non conforme ou circulation trop à gauche,Genève,Jour,Temps couvert,Avec blessés légers,2501814.745,1116970.174,Route mouillée,Route secondaire,170000.0,Mercredi,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,,,2022,2501814.75,1116970.17,6.166680268390662,46.197011880115284
33141,48031,220316281,20220310,Accident lors d'un dépassement ou lors d'un changement de voie de circulation,Collision avec le véhicule dépassé en déboîtant,Dépassement - Autre attitude fautive en rapport avec un dépassement,Veyrier,Jour,Beau temps,Avec blessés légers,2501510.274,1115308.863,Route sèche,Route principale,70000.0,Jeudi,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0,,,2022,2501510.27,1115308.86,6.163086884890912,46.182024855443245
33142,48032,220504114,20220427,Accident par tamponnement,Collision avec un véhicule en marche,Conduite - Suivre de trop près le véhicule qui précède,Carouge (GE),Jour,Beau temps,Avec blessés légers,2500062.297,1115165.614,Route sèche,Route principale,150000.0,Mercredi,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,1,0,,,2022,2500062.3,1115165.61,6.144367969701515,46.18052278743052
33143,48033,221025379,20221018,Accident lors d'un dépassement ou lors d'un changement de voie de circulation,Collision lors du changement de voie vers la droite,Conduite - Manque d'égards en changeant de voie,Onex,Jour,Beau temps,Avec dommages matériels,2496900.282,1115703.374,Route sèche,Route principale,170000.0,Mardi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0,1,,,2022,2496900.28,1115703.37,6.10330620229238,46.18488223126506
33144,48034,220315124,20220309,Accident en parquant,Collision avec un obstacle fixe (y compris véhicule correctement stationné),Dépassement - En dépassant de trop près (latéral),Le Grand-Saconnex,Jour,Beau temps,Avec dommages matériels,2497461.0,1120928.0,Route sèche,Route secondaire,180000.0,Mercredi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0,,,2022,2497461.0,1120928.0,6.109419230373398,46.231959903544784
33145,48035,220906296,20220906,Accident par tamponnement,Collision avec véhicule à l'arrêt,Inattention et distraction - Manque d'attention momentané,Lancy,Jour,Temps couvert,Avec dommages matériels,2497558.535,1116207.689,Route sèche,Route principale,80000.0,Mardi,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,,,2022,2497558.54,1116207.69,6.111719687570992,46.18951883876815
33146,48036,220716007,20220716,Dérapage ou perte de maîtrise,Collision avec un obstacle sur la chaussée,Inattention et distraction - Manque d'attention momentané,Plan-les-Ouates,Nuit,Beau temps,Avec dommages matériels,2497682.207,1114448.374,Route sèche,Route principale,10000.0,Samedi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,,,2022,2497682.21,1114448.37,6.113706640229433,46.17371381034809
